dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf
abalone_size_4177,4177,30,false,0,2.17266,0.0728217,true,false
abalone_size_4177,4177,30,true,0.1,8.80536,0.630328,true,false
abalone_size_4177,4177,30,true,0.2,5.48243,0.547903,true,false
abalone_size_4177,4177,30,true,0.3,3.97151,0.409275,true,false
abalone_size_4177,4177,30,true,0.4,3.5894,0.205155,true,false
abalone_size_4177,4177,30,true,0.5,3.27653,0.174179,true,false
abalone_size_4177,4177,30,true,0.6,3.37085,0.228842,true,false
abalone_size_4177,4177,30,true,0.7,3.04652,0.0912227,true,false
abalone_size_4177,4177,30,true,0.8,3.0148,0.20086,true,false
abalone_size_4177,4177,30,true,0.9,3.08045,0.0969529,true,false
abalone_size_4177,4177,30,true,1,3.04677,0.0853175,true,false
abalone_size_4177,4177,30,true,1.5,2.97511,0.134612,true,false
abalone_size_4177,4177,30,true,2,2.89307,0.122204,true,false
abalone_size_4177,4177,30,true,2.5,2.88735,0.0557361,true,false
abalone_size_4177,4177,30,true,3,2.91854,0.0663779,true,false
abalone_size_4177,4177,30,true,4,2.88247,0.0898795,true,false
abalone_size_4177,4177,30,true,5,2.88243,0.0897517,true,false
abalone_size_4177,4177,30,true,6,2.87532,0.099387,true,false
abalone_size_4177,4177,30,true,7,2.88156,0.0704209,true,false
abalone_size_4177,4177,30,true,8,2.87304,0.155503,true,false
abalone_size_4177,4177,30,true,9,2.88112,0.0514531,true,false
abalone_size_4177,4177,30,true,10,2.8906,0.0832701,true,false
abalone_size_4177,4177,30,false,0,2.18754,0.035903,false,true
abalone_size_4177,4177,30,true,0.1,14.0151,1.94467,false,true
abalone_size_4177,4177,30,true,0.2,7.29985,0.0916263,false,true
abalone_size_4177,4177,30,true,0.3,5.27436,0.512372,false,true
abalone_size_4177,4177,30,true,0.4,4.49878,0.4273,false,true
abalone_size_4177,4177,30,true,0.5,4.02411,0.281835,false,true
abalone_size_4177,4177,30,true,0.6,3.47048,0.193394,false,true
abalone_size_4177,4177,30,true,0.7,3.17001,0.0653878,false,true
abalone_size_4177,4177,30,true,0.8,3.15791,0.131707,false,true
abalone_size_4177,4177,30,true,0.9,2.99422,0.108601,false,true
abalone_size_4177,4177,30,true,1,2.89367,0.166869,false,true
abalone_size_4177,4177,30,true,1.5,2.86994,0.157445,false,true
abalone_size_4177,4177,30,true,2,2.71696,0.0728363,false,true
abalone_size_4177,4177,30,true,2.5,2.6965,0.130818,false,true
abalone_size_4177,4177,30,true,3,2.67058,0.136872,false,true
abalone_size_4177,4177,30,true,4,2.66221,0.080846,false,true
abalone_size_4177,4177,30,true,5,2.65347,0.0518075,false,true
abalone_size_4177,4177,30,true,6,2.64815,0.148386,false,true
abalone_size_4177,4177,30,true,7,2.61852,0.121936,false,true
abalone_size_4177,4177,30,true,8,2.61078,0.102424,false,true
abalone_size_4177,4177,30,true,9,2.62398,0.0727346,false,true
abalone_size_4177,4177,30,true,10,2.59983,0.159417,false,true
abalone_size_4177,4177,30,false,0,2.17488,0.121838,true,true
abalone_size_4177,4177,30,true,0.1,9.43913,1.14158,true,true
abalone_size_4177,4177,30,true,0.2,5.05972,0.417532,true,true
abalone_size_4177,4177,30,true,0.3,4.17073,0.459987,true,true
abalone_size_4177,4177,30,true,0.4,3.97548,0.242333,true,true
abalone_size_4177,4177,30,true,0.5,3.661,0.292907,true,true
abalone_size_4177,4177,30,true,0.6,3.41712,0.128849,true,true
abalone_size_4177,4177,30,true,0.7,3.4265,0.124421,true,true
abalone_size_4177,4177,30,true,0.8,3.15459,0.125876,true,true
abalone_size_4177,4177,30,true,0.9,3.20272,0.1216,true,true
abalone_size_4177,4177,30,true,1,3.09646,0.14621,true,true
abalone_size_4177,4177,30,true,1.5,3.09682,0.0911899,true,true
abalone_size_4177,4177,30,true,2,3.10641,0.109765,true,true
abalone_size_4177,4177,30,true,2.5,3.0307,0.111262,true,true
abalone_size_4177,4177,30,true,3,3.0616,0.182749,true,true
abalone_size_4177,4177,30,true,4,3.05292,0.0605133,true,true
abalone_size_4177,4177,30,true,5,3.05525,0.170046,true,true
abalone_size_4177,4177,30,true,6,3.05285,0.131402,true,true
abalone_size_4177,4177,30,true,7,3.04802,0.111626,true,true
abalone_size_4177,4177,30,true,8,3.05251,0.123706,true,true
abalone_size_4177,4177,30,true,9,3.05868,0.105883,true,true
abalone_size_4177,4177,30,true,10,3.04958,0.0940509,true,true
