dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf,balanced,rejection
abalone_size_4177,4177,50,false,0,2.17248,0.0484281,true,false,true,false
abalone_size_4177,4177,50,true,0.1,9.25132,0.765441,true,false,true,false
abalone_size_4177,4177,50,true,0.2,5.29101,0.400209,true,false,true,false
abalone_size_4177,4177,50,true,0.3,4.15675,0.289306,true,false,true,false
abalone_size_4177,4177,50,true,0.4,3.70457,0.217806,true,false,true,false
abalone_size_4177,4177,50,true,0.5,3.42271,0.222751,true,false,true,false
abalone_size_4177,4177,50,true,0.6,3.21395,0.159499,true,false,true,false
abalone_size_4177,4177,50,true,0.7,3.20109,0.132617,true,false,true,false
abalone_size_4177,4177,50,true,0.8,3.14345,0.14407,true,false,true,false
abalone_size_4177,4177,50,true,0.9,3.09052,0.132074,true,false,true,false
abalone_size_4177,4177,50,true,1,3.06379,0.128053,true,false,true,false
abalone_size_4177,4177,50,true,1.5,2.96558,0.136566,true,false,true,false
abalone_size_4177,4177,50,true,2,2.94143,0.107458,true,false,true,false
abalone_size_4177,4177,50,true,2.5,2.90348,0.118902,true,false,true,false
abalone_size_4177,4177,50,true,3,2.91635,0.118859,true,false,true,false
abalone_size_4177,4177,50,true,4,2.91591,0.0878116,true,false,true,false
abalone_size_4177,4177,50,true,5,2.90764,0.0746759,true,false,true,false
abalone_size_4177,4177,50,true,6,2.89469,0.0954742,true,false,true,false
abalone_size_4177,4177,50,true,7,2.90583,0.0939299,true,false,true,false
abalone_size_4177,4177,50,true,8,2.89767,0.103037,true,false,true,false
abalone_size_4177,4177,50,true,9,2.89873,0.0865115,true,false,true,false
abalone_size_4177,4177,50,true,10,2.89629,0.0961633,true,false,true,false
abalone_size_4177,4177,50,true,0.1,3.851448,0.068722,true,false,true,true
abalone_size_4177,4177,50,true,0.2,3.099453,0.066026,true,false,true,true
abalone_size_4177,4177,50,true,0.3,3.054502,0.076873,true,false,true,true
abalone_size_4177,4177,50,true,0.4,2.940980,0.024803,true,false,true,true
abalone_size_4177,4177,50,true,0.5,2.969419,0.055457,true,false,true,true
abalone_size_4177,4177,50,true,0.6,2.989969,0.068233,true,false,true,true
abalone_size_4177,4177,50,true,0.7,2.906214,0.046463,true,false,true,true
abalone_size_4177,4177,50,true,0.8,2.925081,0.055665,true,false,true,true
abalone_size_4177,4177,50,true,0.9,2.875759,0.076156,true,false,true,true
abalone_size_4177,4177,50,true,1,2.864259,0.037013,true,false,true,true
abalone_size_4177,4177,50,true,1.5,2.935655,0.029525,true,false,true,true
abalone_size_4177,4177,50,true,2,2.968423,0.023471,true,false,true,true
abalone_size_4177,4177,50,true,2.5,2.902380,0.044819,true,false,true,true
abalone_size_4177,4177,50,true,3,2.954055,0.014038,true,false,true,true
abalone_size_4177,4177,50,true,4,2.929937,0.020925,true,false,true,true
abalone_size_4177,4177,50,true,5,2.926952,0.071465,true,false,true,true
abalone_size_4177,4177,50,true,6,2.931864,0.089756,true,false,true,true
abalone_size_4177,4177,50,true,7,2.925369,0.046304,true,false,true,true
abalone_size_4177,4177,50,true,8,2.921384,0.021315,true,false,true,true
abalone_size_4177,4177,50,true,9,2.922766,0.095936,true,false,true,true
abalone_size_4177,4177,50,true,10,2.933471,0.023716,true,false,true,true

